id,names,amount
479,Michael,516
148,Tim,149
421,Michael,786
129,Bob,579
286,Bob,5
206,Victor,1307
187,Kevin,-190
416,Bob,1058
211,Quinn,15
329,Zelda,589
197,Oliver,-128
493,Tim,164
453,Dan,2553
77,Xavier,-620
90,Wendy,472
93,Oliver,618
19,Frank,881
116,Sarah,245
499,Yvonne,124
358,Ingrid,2398
24,Dan,-30
442,Patricia,259
109,Kevin,-696
180,George,445
197,Oliver,-201
251,Ursula,-15
180,George,533
373,Jerry,1108
174,Yvonne,156
361,Ray,1481
477,Ursula,586
458,Charlie,795
314,Dan,713
309,Norbert,308
139,Charlie,102
495,Bob,-17
462,Yvonne,544
342,Laura,1906
381,Bob,3331
377,Ursula,5088
58,Yvonne,-170
275,Oliver,754
332,Zelda,473
363,Norbert,79
231,Hannah,7
159,Oliver,213
198,Ursula,678
271,Sarah,4685
275,Oliver,757
418,Hannah,281
213,Bob,1493
403,Edith,492
376,Ray,139
357,Xavier,-593
343,Dan,-89
344,Bob,249
109,Kevin,-636
73,Xavier,-2021
223,Jerry,3889
255,Patricia,124
160,Frank,15569
201,Charlie,118
216,George,807
181,Ursula,747
206,Victor,1702
389,Quinn,1124
139,Charlie,97
13,Tim,639
351,Sarah,138
191,Tim,35
180,George,650
87,Xavier,2903
57,Xavier,2944
196,Sarah,442
56,Ray,-963
180,George,461
198,Ursula,706
453,Dan,2853
311,Laura,111
182,Charlie,637
139,Charlie,101
191,Tim,32
373,Jerry,1345
432,Ingrid,1746
462,Yvonne,561
376,Ray,193
299,Kevin,217
153,Edith,658
375,George,-46
208,Zelda,1608
184,Xavier,7357
193,Frank,841
301,Patricia,-284
309,Norbert,446
399,George,-93
391,Ursula,704
443,Jerry,-18
213,Bob,1575
84,Ingrid,13
458,Charlie,752
439,Michael,41
255,Patricia,121
34,Norbert,474
495,Bob,7
86,Xavier,368
161,Tim,518
358,Ingrid,2241
340,Charlie,3660
122,Frank,1169
450,Jerry,1954
354,Kevin,1162
316,Patricia,204
53,Norbert,712
348,Hannah,6
191,Tim,26
499,Yvonne,97
161,Tim,554
323,George,5259
86,Xavier,345
267,Zelda,38
383,Jerry,2071
484,Charlie,1161
350,Kevin,6025
329,Zelda,567
26,George,455
256,Norbert,5255
191,Tim,33
84,Ingrid,8
408,Laura,7
228,Norbert,4660
315,Ray,5
336,Quinn,1779
260,Tim,2920
180,George,574
461,Michael,3172
189,Alice,5066
157,Yvonne,-548
405,Quinn,606
202,Alice,1459
329,Zelda,535
85,Charlie,693
246,Patricia,3250
261,Victor,317
422,Wendy,776
64,Michael,-452
202,Alice,1645
184,Xavier,7473
253,Quinn,-672
353,Patricia,229
363,Norbert,87
233,Frank,108
109,Kevin,-566
408,Laura,6
10,Tim,-180
261,Victor,297
383,Jerry,2096
340,Charlie,3269
313,Dan,3582
152,Patricia,378
353,Patricia,231
57,Xavier,3168
321,Ingrid,1123
443,Jerry,32
357,Xavier,-877
86,Xavier,331
499,Yvonne,99
178,Wendy,838
283,Oliver,-1247
107,Yvonne,1447
233,Frank,93
191,Tim,31
3,Tim,6725
222,Ingrid,1401
191,Tim,20
459,Frank,5295
402,Alice,182
213,Bob,1548
63,Alice,930
64,Michael,-626
299,Kevin,213
405,Quinn,564
228,Norbert,4430
145,Ray,1590
327,Laura,-55
63,Alice,994
329,Zelda,577
